gap_before_min,n_init_reports,n_init_locs,n_init_grids,n_future_reports,complete,n_candidates,n_positive_cells,n_future_cells,n_outside_cells,n_future_reports_outside,cov_cells_r1,cov_cells_r2,cov_cells_r3,cov_cells_r4,t0,event_id,has_positive,has_future,outside_only
28.0,7,7,6,19,True,38,7,7,0,0,6,7,7,7,2020-08-06 22:29:00,EV2-0104,True,True,False
12.0,12,11,5,9,True,27,3,3,0,0,3,3,3,3,2020-08-08 22:02:00,EV2-0105,True,True,False
56.0,7,6,5,2,True,52,1,1,0,0,1,1,1,1,2020-08-08 23:55:00,EV2-0106,True,True,False
22.0,16,11,5,21,True,32,10,12,2,2,8,10,11,12,2020-08-09 19:22:00,EV2-0107,True,True,False
3.0,6,6,4,7,True,28,5,5,0,0,3,5,5,5,2020-08-09 20:23:00,EV2-0108,True,True,False
6.0,10,9,6,11,True,36,5,6,1,1,4,5,6,6,2020-08-09 21:25:00,EV2-0109,True,True,False
13.0,6,6,5,2,True,37,1,1,0,0,1,1,1,1,2020-08-10 08:32:00,EV2-0110,True,True,False
156.0,6,6,4,3,True,26,3,3,0,0,2,3,3,3,2020-08-10 15:53:00,EV2-0111,True,True,False
22.0,18,16,6,7,True,38,4,4,0,0,4,4,4,4,2020-08-10 19:21:00,EV2-0112,True,True,False
7.0,6,6,3,14,True,31,5,5,0,0,4,5,5,5,2020-08-12 23:32:00,EV2-0113,True,True,False
4.0,28,26,7,13,True,38,6,7,1,2,4,6,7,7,2020-08-13 00:32:00,EV2-0114,True,True,False
6.0,10,9,8,1,True,47,1,1,0,0,0,1,1,1,2020-08-13 01:36:00,EV2-0115,True,True,False
17.0,8,8,6,1,True,45,1,1,0,0,1,1,1,1,2020-08-14 02:44:00,EV2-0116,True,True,False
30.0,6,6,5,0,True,43,0,0,0,0,0,0,0,0,2020-08-14 06:02:00,EV2-0117,False,False,False
816.0,12,10,7,45,True,40,11,14,3,12,8,11,12,13,2020-08-15 22:30:00,EV2-0118,True,True,False
3.0,16,13,10,2,True,52,2,2,0,0,2,2,2,2,2020-08-15 23:32:00,EV2-0119,True,True,False
23.0,6,6,5,0,True,31,0,0,0,0,0,0,0,0,2020-08-16 03:53:00,EV2-0120,False,False,False
12.0,7,7,6,14,True,45,8,8,0,0,6,8,8,8,2020-08-16 23:22:00,EV2-0121,True,True,False
3.0,6,6,6,7,True,47,4,4,0,0,4,4,4,4,2020-08-17 00:22:00,EV2-0122,True,True,False
23.0,10,8,7,7,True,44,5,5,0,0,5,5,5,5,2020-08-17 05:08:00,EV2-0123,True,True,False
43.0,6,6,4,3,True,26,3,3,0,0,3,3,3,3,2020-08-17 07:42:00,EV2-0124,True,True,False
81.0,7,7,5,5,True,41,5,5,0,0,3,5,5,5,2020-08-19 02:22:00,EV2-0125,True,True,False
25.0,9,9,7,6,True,53,5,5,0,0,5,5,5,5,2020-08-19 05:57:00,EV2-0126,True,True,False
5.0,8,7,5,4,True,41,3,3,0,0,3,3,3,3,2020-08-19 06:58:00,EV2-0127,True,True,False
9.0,9,9,6,25,True,32,6,6,0,0,6,6,6,6,2020-08-20 01:00:00,EV2-0128,True,True,False
16.0,6,6,5,5,True,37,5,5,0,0,4,5,5,5,2020-08-22 20:23:00,EV2-0129,True,True,False
26.0,6,6,5,3,True,39,3,3,0,0,2,3,3,3,2020-08-22 21:54:00,EV2-0130,True,True,False
7.0,7,7,3,1,True,23,1,1,0,0,1,1,1,1,2020-08-22 22:54:00,EV2-0131,True,True,False
24.0,15,14,9,2,True,56,2,2,0,0,2,2,2,2,2020-08-25 00:54:00,EV2-0132,True,True,False
264.0,9,9,6,2,True,38,1,2,1,1,0,1,1,2,2020-08-28 17:03:00,EV2-0133,True,True,False
533.0,11,10,7,2,True,46,2,2,0,0,2,2,2,2,2020-08-29 16:47:00,EV2-0134,True,True,False
274.0,7,7,5,4,True,38,3,3,0,0,2,3,3,3,2020-08-30 05:46:00,EV2-0135,True,True,False
36.0,11,10,5,10,True,32,7,8,1,1,7,7,8,8,2020-08-31 01:32:00,EV2-0136,True,True,False
2.0,13,13,8,5,True,47,3,4,1,1,3,3,4,4,2020-08-31 02:33:00,EV2-0137,True,True,False
29.0,14,10,5,4,True,27,3,3,0,0,3,3,3,3,2020-09-03 20:47:00,EV2-0138,True,True,False
37.0,7,7,3,10,True,21,3,4,1,1,2,3,3,4,2020-09-03 22:59:00,EV2-0139,True,True,False
3.0,6,6,4,1,True,29,1,1,0,0,1,1,1,1,2020-09-04 00:01:00,EV2-0140,True,True,False
113.0,13,12,5,14,True,34,5,6,1,2,5,5,6,6,2020-09-04 21:37:00,EV2-0141,True,True,False
53.0,16,14,7,1,True,54,1,1,0,0,1,1,1,1,2020-09-11 10:12:00,EV2-0142,True,True,False
59.0,7,7,2,1,True,26,1,1,0,0,1,1,1,1,2020-09-14 23:47:00,EV2-0143,True,True,False
37.0,7,7,5,4,True,38,3,3,0,0,3,3,3,3,2020-09-17 08:01:00,EV2-0144,True,True,False
63.0,32,29,8,7,True,46,4,4,0,0,4,4,4,4,2020-09-18 21:28:00,EV2-0145,True,True,False
8.0,9,9,5,0,True,37,0,0,0,0,0,0,0,0,2020-09-18 22:31:00,EV2-0146,False,False,False
66.0,8,7,3,2,True,23,2,2,0,0,1,2,2,2,2020-09-19 21:55:00,EV2-0147,True,True,False
21.0,9,9,7,3,True,44,3,3,0,0,3,3,3,3,2020-09-19 22:56:00,EV2-0148,True,True,False
13.0,6,6,3,3,True,31,3,3,0,0,2,3,3,3,2020-09-21 21:45:00,EV2-0149,True,True,False
312.0,7,6,3,15,True,23,6,10,4,5,5,6,7,8,2020-10-01 20:48:00,EV2-0150,True,True,False
6.0,19,18,12,1,True,50,1,1,0,0,1,1,1,1,2020-10-01 21:48:00,EV2-0151,True,True,False
61.0,6,6,2,18,True,26,7,10,3,3,4,7,9,10,2020-10-01 23:54:00,EV2-0152,True,True,False
14.0,7,7,6,3,True,46,3,3,0,0,3,3,3,3,2020-10-02 22:51:00,EV2-0153,True,True,False
37.0,14,14,10,0,True,67,0,0,0,0,0,0,0,0,2021-06-02 22:47:00,EV2-0154,False,False,False
34.0,7,7,6,16,True,38,7,9,2,2,6,7,9,9,2021-06-06 18:30:00,EV2-0155,True,True,False
26.0,6,6,5,2,True,43,2,2,0,0,2,2,2,2,2021-06-07 19:20:00,EV2-0156,True,True,False
14.0,6,6,6,9,True,45,5,6,1,1,3,5,6,6,2021-06-09 19:14:00,EV2-0157,True,True,False
13.0,8,8,7,9,True,46,6,6,0,0,4,6,6,6,2021-06-09 20:30:00,EV2-0158,True,True,False
13.0,6,6,5,3,True,43,3,3,0,0,3,3,3,3,2021-06-09 22:33:00,EV2-0159,True,True,False
9.0,10,9,6,2,True,43,2,2,0,0,1,2,2,2,2021-06-09 23:33:00,EV2-0160,True,True,False
32.0,6,6,6,0,True,39,0,0,0,0,0,0,0,0,2021-06-10 13:27:00,EV2-0161,False,False,False
15.0,6,6,5,5,True,47,4,4,0,0,3,4,4,4,2021-06-10 17:25:00,EV2-0162,True,True,False
36.0,7,7,3,1,True,27,1,1,0,0,1,1,1,1,2021-06-14 22:11:00,EV2-0163,True,True,False
