event_hour,event_id,asos_blowing_to_deg,asos_wind_speed_3h,asos_rain_3h,asos_direction_sd,asos_stagnation_flag,asos_source
2021-08-31 23:00:00,EVT-0138,331.9914790811568,1.9594163124388382,0.532493337156567,14.771282249160494,0.0,asos
2021-09-13 00:00:00,EVT-0139,273.5182127032096,0.6024101661603057,0.0,30.722913489722405,1.0,asos
2021-09-21 22:00:00,EVT-0140,351.5432819577058,1.7767723238054196,0.0,20.99649656066572,0.0,asos
2021-09-28 21:00:00,EVT-0141,263.80389773089655,0.9642110304808182,0.11557985486547284,50.0559556819355,1.0,asos
2021-10-03 21:00:00,EVT-0143,321.30614834472806,1.3886858597314253,0.0,53.62926986726556,1.0,asos
2021-10-05 22:00:00,EVT-0144,19.711019019893683,0.7929033129027072,0.0,89.6726950874134,1.0,asos
2022-06-26 23:00:00,EVT-0146,353.7532030209058,2.8848070216342796,0.0,9.444082306679448,0.0,asos
2022-06-29 21:00:00,EVT-0147,329.9391444539942,2.410947375381043,0.0,0.0,0.0,asos
2022-06-30 23:00:00,EVT-0148,335.41244391081574,1.4875245282537772,0.0,28.764243269294393,0.0,asos
2022-07-01 00:00:00,EVT-0149,324.8392271326505,1.7697039642669243,0.0,3.596694241873358,0.0,asos
2022-07-03 23:00:00,EVT-0150,315.1726105215677,0.9333333333333333,0.6633770426911156,58.14338874772436,1.0,asos
2022-07-04 23:00:00,EVT-0151,36.105725828745676,0.6251796948097158,0.0,34.24805949585095,1.0,asos
2022-07-13 21:00:00,EVT-0152,340.0,3.371067049167472,0.0,0.0,0.0,asos
2022-07-13 22:00:00,EVT-0153,340.0,3.119194218338606,0.0,0.0,0.0,asos
2022-07-14 00:00:00,EVT-0154,342.93352732570344,2.9221308805836808,0.04340448004072195,5.344927486847435,0.0,asos
2022-07-17 00:00:00,EVT-0155,58.11656277761972,0.9374241363823362,0.0,22.617172108044084,1.0,asos
2022-07-17 23:00:00,EVT-0156,280.7077329750773,0.7777350647842645,0.0,73.37447943536043,1.0,asos
2022-07-20 00:00:00,EVT-0157,89.20985318537686,1.4317865639126184,0.0,73.62313362792901,1.0,asos
2022-07-23 01:00:00,EVT-0158,346.2315003231709,0.3908229737399911,0.0,11.129635684527354,1.0,asos
2022-07-26 00:00:00,EVT-0159,51.792155132402115,0.7499585093760802,0.0,0.0,1.0,asos
2022-07-26 01:00:00,EVT-0160,50.13809806994516,0.6107414166682393,0.0,12.321793672515284,1.0,asos
2022-08-01 21:00:00,EVT-0161,317.2695980861796,3.051541887102851,1.0133514956722927,19.335984304194223,0.0,asos
2022-08-14 23:00:00,EVT-0162,325.11492586773926,2.3358012085148707,0.0,11.739200444639007,0.0,asos
2022-09-06 23:00:00,EVT-0165,308.8722234423895,0.6506337585134014,0.0,23.319980657946676,1.0,asos
2023-07-05 22:00:00,EVT-0166,17.086754583458628,1.6649261437572824,0.0,12.238397535017741,0.0,asos
2023-09-20 00:00:00,EVT-0167,352.90897234111986,0.8701873649552494,0.0,63.46943616742649,1.0,asos
2024-07-17 21:00:00,EVT-0168,351.0807363737635,1.9084348970646976,0.0,10.706630139231127,0.0,asos
2024-07-17 22:00:00,EVT-0169,341.47795569841225,2.1598642168721547,0.0,9.444082306679473,0.0,asos
2024-07-17 23:00:00,EVT-0170,335.7593545643879,2.5364368755244673,0.0,4.271819618927244,0.0,asos
2024-07-28 22:00:00,EVT-0171,2.105288669960146,2.2952497435535695,0.0,20.717016947786583,0.0,asos
2024-07-28 23:00:00,EVT-0172,337.8410109349052,2.1325875228927442,0.0,18.066606181855335,0.0,asos
2024-09-02 02:00:00,EVT-0173,317.32750845394196,0.9386304676782289,0.0,20.925279250259035,1.0,asos
2024-09-03 20:00:00,EVT-0174,139.56291527089013,0.9450464566204984,0.57657375342567,72.1822593050502,1.0,asos
2024-09-05 01:00:00,EVT-0175,308.07691394055166,0.880262483128168,0.0,59.747062964933114,1.0,asos
2024-09-09 01:00:00,EVT-0177,223.94061855346766,0.33333333333333326,0.0,23.55529259151335,1.0,asos
2024-09-14 00:00:00,EVT-0178,280.88925380660424,0.709741338931204,0.0,35.448486038367896,1.0,asos
2025-08-08 23:00:00,EVT-0179,354.3432392613685,0.9023770616119812,0.0,56.06467063035129,1.0,asos
2025-08-28 22:00:00,EVT-0180,346.5001477058193,1.5395946849885074,0.0,61.96392418760709,1.0,asos
2025-09-05 21:00:00,EVT-0181,349.50521015383003,1.191241970287837,0.0,34.14918668357103,0.0,asos
2025-09-15 00:00:00,EVT-0182,297.37337884936767,0.7405568579799529,0.0,53.44789953541017,1.0,asos
