gap_before_min,n_init_reports,n_init_locs,n_init_grids,n_future_reports,complete,n_candidates,n_positive_cells,n_future_cells,n_outside_cells,n_future_reports_outside,cov_cells_r1,cov_cells_r2,cov_cells_r3,cov_cells_r4,t0,event_id,has_positive,has_future,outside_only
279.0,5,4,4,2,True,32.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2021-06-25 00:22:00,EV2-0093,True,True,False
71.0,4,4,2,2,True,26.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2021-07-03 16:01:00,EV2-0094,True,True,False
124.0,6,6,4,0,True,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-07-10 01:23:00,EV2-0095,False,False,False
694.0,5,5,4,4,True,24.0,2.0,3.0,1.0,1.0,2.0,2.0,3.0,3.0,2021-07-11 20:40:00,EV2-0096,True,True,False
66.0,4,4,2,0,True,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-07-11 23:29:00,EV2-0097,False,False,False
1323.0,6,6,6,0,True,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-07-12 22:46:00,EV2-0098,False,False,False
578.0,10,10,8,2,True,46.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2021-07-13 19:41:00,EV2-0099,True,True,False
587.0,4,4,3,3,True,23.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2021-07-14 19:21:00,EV2-0100,True,True,False
73.0,6,6,6,2,True,39.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2021-07-16 05:42:00,EV2-0101,True,True,False
375.0,5,5,4,2,True,34.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2021-07-16 18:28:00,EV2-0102,True,True,False
231.0,4,4,3,1,True,31.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,2021-07-18 19:49:00,EV2-0103,True,True,False
77.0,4,4,4,2,True,50.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2021-07-21 05:09:00,EV2-0104,True,True,False
68.0,4,4,4,7,True,38.0,6.0,6.0,0.0,0.0,4.0,6.0,6.0,6.0,2021-07-24 23:51:00,EV2-0105,True,True,False
