순번,업체명,소재지,신고일자,영업상태,사육업종,등록허가여부,시설면적(제곱미터),사육두수,데이터기준일자
149,구봉농장,전북특별자치도 익산시 왕궁면 구덕리 655번지 2호 외1 ,2005-09-22,정상,돼지,등록대상 ,814.16,140,2024-12-31
150,임마누엘팜,전북특별자치도 익산시 낭산면 석천리 1244번지  ,2005-09-22,정상,돼지,허가대상,9906.26,8303,2024-12-31
151,길농장,전북특별자치도 익산시 낭산면 석천리 104번지 9호 외 1 ,2005-09-22,정상,육계,허가대상,3876.08,75000,2024-12-31
152,서O옥 농장,전북특별자치도 익산시 낭산면 구평리 110번지 15호  ,2005-09-22,정상,육계,허가대상,3632.61,80000,2024-12-31
153,상단농장,전북특별자치도 익산시 낭산면 구평리 766번지 3호  ,2005-09-22,정상,육계,허가대상,2296,30000,2024-12-31
154,나나목장,전북특별자치도 익산시 낭산면 삼담리 6번지 28호  ,2005-09-23,정상,젖소,허가대상,1998.32,100,2024-12-31
155,이반농장2,전북특별자치도 익산시 낭산면 석천리 147번지 1호  ,2005-09-23,정상,한우,허가대상,508.8,50,2024-12-31
156,금오(이O구)농장,전북특별자치도 익산시 왕궁면 온수리 271번지 45호  ,2005-09-27,정상,돼지,등록대상 ,379.5,196,2024-12-31
157,금오(장O희)농장,전북특별자치도 익산시 왕궁면 온수리 551번지 20호  ,2005-09-27,정상,돼지,허가대상,578.42,973,2024-12-31
158,현대농장,전북특별자치도 익산시 왕궁면 온수리 551번지 42호  ,2005-09-27,정상,돼지,허가대상,2231.8,1854,2024-12-31
159,금오(이O)농장,전북특별자치도 익산시 왕궁면 온수리 271번지 15호  ,2005-09-27,정상,돼지,등록대상 ,942,1030,2024-12-31
160,최O섭농장,전북특별자치도 익산시 왕궁면 구덕리 531번지  ,2005-09-29,정상,한우,허가대상,704,20,2024-12-31
161,둥지목장,"전북특별자치도 익산시 왕궁면 쌍제리 531번지 18호 , -64 ",2005-09-29,정상,한우,허가대상,2049.36,52,2024-12-31
162,형제목장,전북특별자치도 익산시 왕궁면 구덕리 288번지 1호  ,2005-09-29,정상,젖소,허가대상,1346,69,2024-12-31
163,윤O규농장,"전북특별자치도 익산시 왕궁면 구덕리 383번지 10호 ,383-12 ",2005-09-29,정상,한우,허가대상,725.58,30,2024-12-31
164,샛터농장,"전북특별자치도 익산시 왕궁면 발산리 379번지 3호 , -2, -6, -23 ",2005-09-29,정상,젖소,허가대상,1133.87,40,2024-12-31
165,청송농장,"전북특별자치도 익산시 황등면 죽촌리 68번지 16호 , 1075-6 ",2005-09-30,정상,한우,허가대상,2805.93,175,2024-12-31
166,한O리농장,"전북특별자치도 익산시 함열읍 남당리 151번지 1호 ,150-1 ",2005-09-30,정상,한우,허가대상,1919.25,159,2024-12-31
167,오O택농장,"전북특별자치도 익산시 낭산면 삼담리 105번지 14호 ,-15 ",2005-09-30,정상,육우,허가대상,693.9,57,2024-12-31
168,윤O상농장,"전북특별자치도 익산시 낭산면 구평리 513번지 20호 , -9 ",2005-09-30,정상,한우,등록대상 ,1107.5,49,2024-12-31
169,북성농장,전북특별자치도 익산시 낭산면 석천리 258번지  ,2005-09-30,정상,한우,허가대상,1069.4,116,2024-12-31
170,낭산농장,전북특별자치도 익산시 낭산면 낭산리 395번지  ,2005-09-30,정상,한우,등록대상 ,1663,260,2024-12-31
171,신리축산,전북특별자치도 익산시 낭산면 성남리 541번지 4호  ,2005-09-30,정상,한우,허가대상,396,35,2024-12-31
