grid_x,grid_y,center_latitude,center_longitude,building_count,residential_count,commercial_count,total_floor_area_m2,mean_ground_floors,pages,grid_m,lat0,lon0
-2,0,35.96113574950244,126.96717354857519,1247,510,208,524797.0,1.9510825982357658,2,1000,35.9566125,126.98382
-2,1,35.97018224850733,126.96717354857519,256,48,4,19218.8,0.8125,1,1000,35.9566125,126.98382
-2,2,35.97922874751221,126.96717354857519,90,18,1,3280.4,0.6,1,1000,35.9566125,126.98382
-2,3,35.9882752465171,126.96717354857519,145,34,0,6623.5,0.6137931034482759,1,1000,35.9566125,126.98382
-2,4,35.99732174552198,126.96717354857519,504,117,7,21652.5,0.48412698412698413,1,1000,35.9566125,126.98382
-2,5,36.00636824452687,126.96717354857519,62,11,1,4877.3,0.6451612903225806,1,1000,35.9566125,126.98382
-2,6,36.01541474353175,126.96717354857519,146,37,0,4500.2,0.5068493150684932,1,1000,35.9566125,126.98382
-2,7,36.02446124253664,126.96717354857519,250,36,3,7531.1,0.668,1,1000,35.9566125,126.98382
-2,8,36.03350774154152,126.96717354857519,201,29,1,5485.1,0.44776119402985076,1,1000,35.9566125,126.98382
-2,9,36.04255424054641,126.96717354857519,164,13,4,14499.9,0.5670731707317073,1,1000,35.9566125,126.98382
-2,10,36.05160073955129,126.96717354857519,153,12,3,10249.6,0.41830065359477125,1,1000,35.9566125,126.98382
-2,11,36.06064723855618,126.96717354857519,351,57,13,22242.3,0.4928774928774929,1,1000,35.9566125,126.98382
-2,12,36.06969373756106,126.96717354857519,513,46,28,32253.7,0.5477582846003899,1,1000,35.9566125,126.98382
-2,13,36.07874023656595,126.96717354857519,935,197,90,150733.7,0.9497326203208556,1,1000,35.9566125,126.98382
-2,14,36.08778673557083,126.96717354857519,176,24,7,13196.4,0.6420454545454546,1,1000,35.9566125,126.98382
-2,15,36.09683323457572,126.96717354857519,777,191,28,27237.3,0.4723294723294723,1,1000,35.9566125,126.98382
-2,16,36.1058797335806,126.96717354857519,145,30,4,9109.3,0.5724137931034483,1,1000,35.9566125,126.98382
-2,17,36.11492623258549,126.96717354857519,9,0,0,0.0,1.0,1,1000,35.9566125,126.98382
