분석대상,발생시각,신고수,서로다른좌표수,지역별신고수,평균강도,최대강도,악취종류별신고수,주요악취종류
익산시만,2021-06-22 23:00:00,2,2,"{""금강동"": 1, ""현영동"": 1}",4.0,5,"{""하수구 냄새"": 2}",하수구 냄새
익산시만,2021-06-23 01:00:00,1,1,"{""영등동"": 1}",3.0,3,"{""공장 냄새(화학약품, 매캐함)"": 1}","공장 냄새(화학약품, 매캐함)"
익산시만,2021-06-23 02:00:00,2,2,"{""송학동"": 1, ""모현동1가"": 1}",3.5,4,"{""가축 분뇨 냄새(닭, 돼지, 소)"": 2}","가축 분뇨 냄새(닭, 돼지, 소)"
익산시만,2021-06-23 03:00:00,1,1,"{""영등동"": 1}",3.0,3,"{""공장 냄새(화학약품, 매캐함)"": 1}","공장 냄새(화학약품, 매캐함)"
익산시만,2021-06-23 04:00:00,1,1,"{""송학동"": 1}",4.0,4,"{""가축 분뇨 냄새(닭, 돼지, 소)"": 1}","가축 분뇨 냄새(닭, 돼지, 소)"
익산시만,2021-06-23 05:00:00,1,1,"{""성당면 대선리"": 1}",4.0,4,"{""가축 분뇨 냄새(닭, 돼지, 소)"": 1}","가축 분뇨 냄새(닭, 돼지, 소)"
익산시만,2021-06-23 09:00:00,1,1,"{""팔봉동"": 1}",4.0,4,"{""공장 냄새(화학약품, 매캐함)"": 1}","공장 냄새(화학약품, 매캐함)"
익산시만,2021-06-23 17:00:00,2,2,"{""부송동"": 2}",2.5,3,"{""공장 냄새(화학약품, 매캐함)"": 2}","공장 냄새(화학약품, 매캐함)"
익산시만,2021-06-23 18:00:00,1,1,"{""낭산면 용기리"": 1}",5.0,5,"{""기타"": 1}",기타
익산시만,2021-06-24 02:00:00,1,1,"{""송학동"": 1}",4.0,4,"{""가축 분뇨 냄새(닭, 돼지, 소)"": 1}","가축 분뇨 냄새(닭, 돼지, 소)"
익산시만,2021-06-24 05:00:00,1,1,"{""모현동1가"": 1}",4.0,4,"{""기타"": 1}",기타
익산시만,2021-06-24 06:00:00,1,1,"{""동산동"": 1}",5.0,5,"{""기타"": 1}",기타
익산시만,2021-06-24 09:00:00,1,1,"{""팔봉동"": 1}",3.0,3,"{""공장 냄새(화학약품, 매캐함)"": 1}","공장 냄새(화학약품, 매캐함)"
익산시만,2021-06-24 19:00:00,2,2,"{""마동"": 1, ""오산면 남전리"": 1}",3.5,4,"{""공장 냄새(화학약품, 매캐함)"": 1, ""기타"": 1}","공장 냄새(화학약품, 매캐함)"
익산시만,2021-06-25 00:00:00,5,5,"{""인화동2가"": 2, ""동산동"": 2, ""영등동"": 1}",4.2,5,"{""기타"": 2, ""가축 분뇨 냄새(닭, 돼지, 소)"": 2, ""하수구 냄새"": 1}",기타
익산시만,2021-06-25 01:00:00,3,3,"{""부송동"": 1, ""모현동1가"": 1, ""마동"": 1}",3.6666666666666665,4,"{""기타"": 2, ""가축 분뇨 냄새(닭, 돼지, 소)"": 1}",기타
익산시만,2021-06-25 02:00:00,1,1,"{""모현동1가"": 1}",4.0,4,"{""기타"": 1}",기타
익산시만,2021-06-25 03:00:00,3,3,"{""부송동"": 1, ""어양동"": 1, ""영등동"": 1}",3.3333333333333335,4,"{""공장 냄새(화학약품, 매캐함)"": 3}","공장 냄새(화학약품, 매캐함)"
