event_hour,hour,grid_x,grid_y,risk_score,rank,train_end
2025-08-08 23:00:00,2025-08-08 22:00:00,0,-6,6.1150844e-05,186,2025-01-01
2025-08-28 22:00:00,2025-08-28 21:00:00,-2,-3,0.23904508,1,2025-01-01
2025-08-28 22:00:00,2025-08-28 21:00:00,9,1,0.15765251,2,2025-01-01
2025-08-28 22:00:00,2025-08-28 21:00:00,-4,-3,0.09138027,3,2025-01-01
2025-08-28 22:00:00,2025-08-28 21:00:00,-1,0,0.08718384,4,2025-01-01
2025-08-28 22:00:00,2025-08-28 21:00:00,-11,-5,0.076763384,5,2025-01-01
2025-08-28 22:00:00,2025-08-28 21:00:00,1,-1,0.04586357,6,2025-01-01
2025-08-28 22:00:00,2025-08-28 21:00:00,0,-1,0.04296252,7,2025-01-01
2025-08-28 22:00:00,2025-08-28 21:00:00,0,0,0.028687453,8,2025-01-01
2025-08-28 22:00:00,2025-08-28 21:00:00,-2,-2,0.01733347,9,2025-01-01
2025-08-28 22:00:00,2025-08-28 21:00:00,-12,-5,0.017265642,10,2025-01-01
2025-08-28 22:00:00,2025-08-28 21:00:00,-1,-1,0.01574372,11,2025-01-01
2025-08-28 22:00:00,2025-08-28 21:00:00,-5,-2,0.014406707,12,2025-01-01
2025-08-28 22:00:00,2025-08-28 21:00:00,-1,-3,0.012874786,13,2025-01-01
2025-08-28 22:00:00,2025-08-28 21:00:00,3,-1,0.01088696,14,2025-01-01
2025-08-28 22:00:00,2025-08-28 21:00:00,-3,-4,0.008768348,15,2025-01-01
2025-08-28 22:00:00,2025-08-28 21:00:00,1,0,0.008500297,16,2025-01-01
2025-08-28 22:00:00,2025-08-28 21:00:00,-2,-4,0.008205317,17,2025-01-01
2025-08-28 22:00:00,2025-08-28 21:00:00,6,-3,0.0062787696,18,2025-01-01
2025-08-28 22:00:00,2025-08-28 21:00:00,-3,-3,0.0061565544,19,2025-01-01
2025-08-28 22:00:00,2025-08-28 21:00:00,-2,0,0.005661219,20,2025-01-01
2025-08-28 22:00:00,2025-08-28 21:00:00,-4,-2,0.005456639,21,2025-01-01
2025-08-28 22:00:00,2025-08-28 21:00:00,0,-2,0.0054091183,22,2025-01-01
2025-08-28 22:00:00,2025-08-28 21:00:00,-3,-2,0.005128711,23,2025-01-01
2025-08-28 22:00:00,2025-08-28 21:00:00,-10,-3,0.004989187,24,2025-01-01
2025-08-28 22:00:00,2025-08-28 21:00:00,2,0,0.0037770101,25,2025-01-01
