gap_before_min,n_init_reports,n_init_locs,n_init_grids,n_future_reports,complete,n_candidates,n_positive_cells,n_future_cells,n_outside_cells,n_future_reports_outside,cov_cells_r1,cov_cells_r2,cov_cells_r3,cov_cells_r4,t0_override,t_pred_min,lead_gain_min,t0,event_id,has_positive,has_future,outside_only
2.0,6,6,4,13,True,32,5,5,0,0,4,5,5,5,27174121,27174151,0,2021-08-31 22:01:00,EV2-0202,True,True,False
1.0,14,14,7,1,True,33,1,1,0,0,1,1,1,1,27174182,27174212,2,2021-08-31 23:02:00,EV2-0203,True,True,False
3.0,6,6,5,0,True,36,0,0,0,0,0,0,0,0,27179900,27179930,18,2021-09-04 22:20:00,EV2-0204,False,False,False
7.0,6,6,5,1,True,42,1,1,0,0,1,1,1,1,27191333,27191363,3,2021-09-12 20:53:00,EV2-0205,True,True,False
9.0,7,6,3,5,True,21,3,3,0,0,2,3,3,3,27191525,27191555,6,2021-09-13 00:05:00,EV2-0206,True,True,False
103.0,6,6,6,1,True,33,1,1,0,0,1,1,1,1,27201425,27201455,7,2021-09-19 21:05:00,EV2-0207,True,True,False
7.0,6,6,2,10,True,18,4,4,0,0,4,4,4,4,27204356,27204386,24,2021-09-21 21:56:00,EV2-0208,True,True,False
13.0,6,6,5,3,True,27,2,2,0,0,2,2,2,2,27204434,27204464,5,2021-09-21 23:14:00,EV2-0209,True,True,False
30.0,6,6,4,6,True,35,4,5,1,1,4,4,5,5,27208723,27208753,10,2021-09-24 22:43:00,EV2-0210,True,True,False
260.0,9,6,1,8,True,13,1,2,1,1,1,1,1,1,27211154,27211184,26,2021-09-26 15:14:00,EV2-0211,True,True,False
63.0,6,6,3,0,True,31,0,0,0,0,0,0,0,0,27212943,27212973,2,2021-09-27 21:03:00,EV2-0212,False,False,False
4.0,6,6,4,8,True,24,5,5,0,0,4,5,5,5,27214384,27214414,8,2021-09-28 21:04:00,EV2-0213,True,True,False
38.0,7,6,3,3,True,31,1,3,2,2,1,1,2,2,27220240,27220270,17,2021-10-02 22:40:00,EV2-0214,True,True,False
149.0,6,6,5,10,True,30,5,5,0,0,5,5,5,5,27221541,27221571,9,2021-10-03 20:21:00,EV2-0215,True,True,False
24.0,6,6,4,0,True,31,0,0,0,0,0,0,0,0,27223021,27223051,10,2021-10-04 21:01:00,EV2-0216,False,False,False
5.0,6,6,5,2,True,40,2,2,0,0,2,2,2,2,27223163,27223193,14,2021-10-04 23:23:00,EV2-0217,True,True,False
9.0,6,6,4,4,True,24,2,2,0,0,2,2,2,2,27224523,27224553,9,2021-10-05 22:03:00,EV2-0218,True,True,False
291.0,7,6,4,1,True,34,1,1,0,0,1,1,1,1,27225044,27225074,1,2021-10-06 06:44:00,EV2-0219,True,True,False
10.0,6,6,4,1,True,31,0,1,1,1,0,0,1,1,27227479,27227509,6,2021-10-07 23:19:00,EV2-0220,False,True,True
1440.0,6,6,3,3,True,21,1,2,1,1,1,1,1,1,27235917,27235947,15,2021-10-13 19:57:00,EV2-0221,True,True,False
1310.0,6,6,5,10,True,29,5,9,4,4,4,5,6,9,27603191,27603221,10,2022-06-25 21:11:00,EV2-0222,True,True,False
16.0,6,6,4,5,True,27,5,5,0,0,4,5,5,5,27604731,27604761,12,2022-06-26 22:51:00,EV2-0223,True,True,False
11.0,6,6,5,1,True,29,1,1,0,0,1,1,1,1,27606019,27606049,1,2022-06-27 20:19:00,EV2-0224,True,True,False
16.0,6,6,4,7,True,26,5,5,0,0,5,5,5,5,27608939,27608969,0,2022-06-29 20:59:00,EV2-0225,True,True,False
4.0,6,6,4,14,True,26,5,6,1,1,4,5,6,6,27610480,27610510,6,2022-06-30 22:40:00,EV2-0226,True,True,False
1.0,6,6,4,4,True,24,3,3,0,0,3,3,3,3,27610540,27610570,9,2022-06-30 23:40:00,EV2-0227,True,True,False
7.0,6,6,4,3,True,34,2,2,0,0,1,2,2,2,27610608,27610638,2,2022-07-01 00:48:00,EV2-0228,True,True,False
15.0,7,6,4,0,True,31,0,0,0,0,0,0,0,0,27613711,27613741,2,2022-07-03 04:31:00,EV2-0229,False,False,False
78.0,7,7,4,8,True,35,7,7,0,0,7,7,7,7,27614790,27614820,18,2022-07-03 22:30:00,EV2-0230,True,True,False
9.0,7,7,4,1,True,24,1,1,0,0,1,1,1,1,27614853,27614883,9,2022-07-03 23:33:00,EV2-0231,True,True,False
22.0,6,6,5,12,True,51,3,3,0,0,3,3,3,3,27616217,27616247,6,2022-07-04 22:17:00,EV2-0232,True,True,False
13.0,7,6,2,2,True,26,1,1,0,0,1,1,1,1,27617771,27617801,13,2022-07-06 00:11:00,EV2-0233,True,True,False
16.0,6,6,6,4,True,32,3,3,0,0,3,3,3,3,27618936,27618966,5,2022-07-06 19:36:00,EV2-0234,True,True,False
9.0,6,6,4,1,True,30,1,1,0,0,1,1,1,1,27629042,27629072,2,2022-07-13 20:02:00,EV2-0235,True,True,False
20.0,8,6,3,16,True,21,4,4,0,0,4,4,4,4,27629109,27629139,10,2022-07-13 21:09:00,EV2-0236,True,True,False
3.0,6,6,4,12,True,26,5,5,0,0,5,5,5,5,27629259,27629289,14,2022-07-13 23:39:00,EV2-0237,True,True,False
81.0,6,6,3,6,True,23,3,4,1,1,3,3,3,3,27633590,27633620,4,2022-07-16 23:50:00,EV2-0238,True,True,False
4.0,6,6,2,3,True,26,2,2,0,0,2,2,2,2,27634969,27634999,18,2022-07-17 22:49:00,EV2-0239,True,True,False
5.0,7,6,5,7,True,37,4,4,0,0,4,4,4,4,27637940,27637970,3,2022-07-20 00:20:00,EV2-0240,True,True,False
8.0,6,6,4,1,True,34,1,1,0,0,1,1,1,1,27638046,27638076,10,2022-07-20 02:06:00,EV2-0241,True,True,False
16.0,6,6,5,10,True,37,5,5,0,0,5,5,5,5,27642298,27642328,5,2022-07-23 00:58:00,EV2-0242,True,True,False
17.0,6,6,3,9,True,31,4,4,0,0,4,4,4,4,27646584,27646614,3,2022-07-26 00:24:00,EV2-0243,True,True,False
19.0,6,6,4,1,True,46,0,1,1,1,0,0,1,1,27646691,27646721,1,2022-07-26 02:11:00,EV2-0244,False,True,True
899.0,6,6,4,0,True,24,0,0,0,0,0,0,0,0,27647911,27647941,0,2022-07-26 22:31:00,EV2-0245,False,False,False
24.0,6,6,3,7,True,21,3,4,1,1,3,3,3,4,27649224,27649254,1,2022-07-27 20:24:00,EV2-0246,True,True,False
6.0,6,6,5,0,True,31,0,0,0,0,0,0,0,0,27652230,27652260,5,2022-07-29 22:30:00,EV2-0247,False,False,False
4.0,6,6,4,6,True,30,5,5,0,0,4,5,5,5,27656490,27656520,2,2022-08-01 21:30:00,EV2-0248,True,True,False
5.0,6,6,4,1,True,36,1,1,0,0,1,1,1,1,27658332,27658362,11,2022-08-03 04:12:00,EV2-0249,True,True,False
1054.0,6,6,5,8,True,29,4,5,1,1,4,4,4,5,27675260,27675290,6,2022-08-14 22:20:00,EV2-0250,True,True,False
1.0,13,13,7,3,True,40,3,3,0,0,3,3,3,3,27675321,27675351,2,2022-08-14 23:21:00,EV2-0251,True,True,False
135.0,6,6,4,11,True,32,5,7,2,2,4,5,5,6,27681064,27681094,16,2022-08-18 23:04:00,EV2-0252,True,True,False
22.0,6,6,3,2,True,23,1,2,1,1,1,1,1,2,27684148,27684178,9,2022-08-21 02:28:00,EV2-0253,True,True,False
26.0,7,6,3,3,True,27,3,3,0,0,2,3,3,3,27686826,27686856,1,2022-08-22 23:06:00,EV2-0254,True,True,False
70.0,6,6,5,2,True,27,2,2,0,0,2,2,2,2,27692713,27692743,9,2022-08-27 01:13:00,EV2-0255,True,True,False
247.0,10,6,1,1,True,13,0,1,1,1,0,0,0,0,27702556,27702586,2,2022-09-02 21:16:00,EV2-0256,False,True,True
7.0,6,6,5,10,True,43,7,8,1,1,7,7,7,7,27708393,27708423,1,2022-09-06 22:33:00,EV2-0257,True,True,False
57.0,6,6,1,1,True,13,1,1,0,0,1,1,1,1,27719649,27719679,2,2022-09-14 18:09:00,EV2-0258,True,True,False
558.0,7,6,1,0,True,13,0,0,0,0,0,0,0,0,27725306,27725336,12,2022-09-18 16:26:00,EV2-0259,False,False,False
55.0,7,6,3,2,True,28,2,2,0,0,1,2,2,2,27731375,27731405,1,2022-09-22 21:35:00,EV2-0260,True,True,False
34.0,6,6,4,5,True,33,1,4,3,4,1,1,4,4,27745704,27745734,8,2022-10-02 20:24:00,EV2-0261,True,True,False
12.0,8,7,5,9,True,41,6,7,1,1,5,6,7,7,28143247,28143277,10,2023-07-05 22:07:00,EV2-0262,True,True,False
10.0,6,6,6,2,True,35,2,2,0,0,2,2,2,2,28154724,28154754,7,2023-07-13 21:24:00,EV2-0263,True,True,False
795.0,6,6,4,1,True,31,1,1,0,0,1,1,1,1,28210769,28210799,25,2023-08-21 19:29:00,EV2-0264,True,True,False
19.0,6,6,5,1,True,35,1,1,0,0,1,1,1,1,28236953,28236983,5,2023-09-08 23:53:00,EV2-0265,True,True,False
969.0,7,6,3,1,True,30,1,1,0,0,1,1,1,1,28239729,28239759,2,2023-09-10 22:09:00,EV2-0266,True,True,False
19.0,6,6,3,3,True,29,1,3,2,2,0,1,2,2,28241276,28241306,11,2023-09-11 23:56:00,EV2-0267,True,True,False
56.0,7,7,5,0,True,37,0,0,0,0,0,0,0,0,28249904,28249934,2,2023-09-17 23:44:00,EV2-0268,False,False,False
5.0,6,6,6,8,True,41,5,7,2,2,4,5,7,7,28252810,28252840,15,2023-09-20 00:10:00,EV2-0269,True,True,False
63.0,6,6,5,0,True,37,0,0,0,0,0,0,0,0,28287181,28287211,2,2023-10-13 21:01:00,EV2-0270,False,False,False
27.0,6,6,6,0,True,51,0,0,0,0,0,0,0,0,28645852,28645882,11,2024-06-18 22:52:00,EV2-0271,False,False,False
7.0,6,6,1,0,True,13,0,0,0,0,0,0,0,0,28652902,28652932,0,2024-06-23 20:22:00,EV2-0272,False,False,False
600.0,6,6,1,7,True,13,1,1,0,0,1,1,1,1,28658764,28658794,24,2024-06-27 22:04:00,EV2-0273,True,True,False
5.0,6,6,6,0,True,38,0,0,0,0,0,0,0,0,28665882,28665912,2,2024-07-02 20:42:00,EV2-0274,False,False,False
125.0,6,6,1,3,True,13,1,1,0,0,1,1,1,1,28668687,28668717,17,2024-07-04 19:27:00,EV2-0275,True,True,False
7.0,6,6,4,20,True,36,5,7,2,4,4,5,6,7,28687529,28687559,9,2024-07-17 21:29:00,EV2-0276,True,True,False
1.0,6,6,3,8,True,27,3,4,1,2,2,3,4,4,28687592,28687622,0,2024-07-17 22:32:00,EV2-0277,True,True,False
14.0,7,6,6,3,True,40,3,3,0,0,3,3,3,3,28694680,28694710,2,2024-07-22 20:40:00,EV2-0278,True,True,False
20.0,8,6,5,6,True,29,4,4,0,0,4,4,4,4,28703407,28703437,2,2024-07-28 22:07:00,EV2-0279,True,True,False
10.0,8,8,3,5,True,21,3,3,0,0,3,3,3,3,28703470,28703500,0,2024-07-28 23:10:00,EV2-0280,True,True,False
36.0,6,6,5,0,True,49,0,0,0,0,0,0,0,0,28705393,28705423,2,2024-07-30 07:13:00,EV2-0281,False,False,False
45.0,7,7,1,5,True,13,1,1,0,0,1,1,1,1,28736490,28736520,14,2024-08-20 21:30:00,EV2-0282,True,True,False
737.0,7,7,1,1,True,13,1,1,0,0,1,1,1,1,28752254,28752284,4,2024-08-31 20:14:00,EV2-0283,True,True,False
15.0,6,6,4,5,True,26,4,5,1,1,3,4,5,5,28754022,28754052,16,2024-09-02 01:42:00,EV2-0284,True,True,False
92.0,6,6,5,6,True,34,3,3,0,0,3,3,3,3,28756552,28756582,25,2024-09-03 19:52:00,EV2-0285,True,True,False
49.0,6,6,4,13,True,34,4,7,3,3,3,4,6,6,28758296,28758326,19,2024-09-05 00:56:00,EV2-0286,True,True,False
26.0,7,6,4,5,True,31,4,5,1,1,4,4,4,4,28762517,28762547,17,2024-09-07 23:17:00,EV2-0287,True,True,False
98.0,6,6,5,6,True,37,3,3,0,0,3,3,3,3,28764032,28764062,19,2024-09-09 00:32:00,EV2-0288,True,True,False
923.0,6,6,5,0,True,27,0,0,0,0,0,0,0,0,28771151,28771181,6,2024-09-13 23:11:00,EV2-0289,False,False,False
32.0,11,11,6,3,True,38,3,3,0,0,3,3,3,3,28771212,28771242,1,2024-09-14 00:12:00,EV2-0290,True,True,False
69.0,7,6,1,6,True,13,2,2,0,0,2,2,2,2,28796937,28796967,12,2024-10-01 20:57:00,EV2-0291,True,True,False
34.0,7,7,2,13,True,18,2,2,0,0,2,2,2,2,29154071,29154101,23,2025-06-06 21:11:00,EV2-0292,True,True,False
14.0,8,7,4,15,True,31,5,5,0,0,5,5,5,5,29244892,29244922,9,2025-08-08 22:52:00,EV2-0293,True,True,False
1.0,9,9,5,0,True,48,0,0,0,0,0,0,0,0,29244953,29244983,0,2025-08-08 23:53:00,EV2-0294,False,False,False
47.0,6,6,5,3,True,43,2,2,0,0,2,2,2,2,29252118,29252148,4,2025-08-13 23:18:00,EV2-0295,True,True,False
21.0,6,6,4,0,True,33,0,0,0,0,0,0,0,0,29256518,29256548,1,2025-08-17 00:38:00,EV2-0296,False,False,False
21.0,6,6,5,1,True,34,1,1,0,0,1,1,1,1,29262220,29262250,1,2025-08-20 23:40:00,EV2-0297,True,True,False
10.0,7,6,5,4,True,30,3,3,0,0,2,3,3,3,29273622,29273652,15,2025-08-28 21:42:00,EV2-0298,True,True,False
5.0,6,6,4,8,True,34,4,4,0,0,4,4,4,4,29285086,29285116,12,2025-09-05 20:46:00,EV2-0299,True,True,False
105.0,6,6,5,2,True,33,2,2,0,0,1,2,2,2,29296826,29296856,13,2025-09-14 00:26:00,EV2-0300,True,True,False
11.0,6,6,4,8,True,35,6,6,0,0,5,6,6,6,29298225,29298255,8,2025-09-14 23:45:00,EV2-0301,True,True,False
66.0,6,6,3,0,True,21,0,0,0,0,0,0,0,0,29300975,29301005,4,2025-09-16 21:35:00,EV2-0302,False,False,False
8.0,6,6,4,3,True,26,2,2,0,0,2,2,2,2,29335592,29335622,1,2025-10-10 22:32:00,EV2-0303,True,True,False
142.0,6,6,1,2,True,13,2,2,0,0,2,2,2,2,29338478,29338508,17,2025-10-12 22:38:00,EV2-0304,True,True,False
8.0,7,6,2,1,True,21,1,1,0,0,1,1,1,1,29713313,29713343,8,2026-06-30 05:53:00,EV2-0305,True,True,False
195.0,6,6,4,4,True,33,1,3,2,3,1,1,2,2,29728730,29728760,5,2026-07-10 22:50:00,EV2-0306,True,True,False
