datetime,latitude,longitude,region,intensity,odor_type,grid_id,st_cluster
2020-03-20 23:36:00,35.961185,126.99406,부송동,5,"가축 분뇨 냄새(닭, 돼지, 소)",1:1,-1
2020-03-20 23:51:00,35.96108,126.993706,부송동,5,"가축 분뇨 냄새(닭, 돼지, 소)",1:0,-1
2020-03-21 21:55:00,35.969994,126.93514,현영동,5,기타,-9:2,-1
2020-03-21 22:01:00,35.972652,126.936584,현영동,5,"공장 냄새(화학약품, 매캐함)",-9:3,-1
2020-03-21 23:41:00,35.970734,126.93561,현영동,5,"가축 분뇨 냄새(닭, 돼지, 소)",-9:3,-1
2020-03-22 09:04:00,35.964504,126.98683,부송동,5,"공장 냄새(화학약품, 매캐함)",0:1,-1
2020-03-23 04:44:00,35.957653,126.998184,부송동,4,"공장 냄새(화학약품, 매캐함)",2:0,-1
2020-03-23 09:07:00,35.944687,126.9551,남중동,3,"가축 분뇨 냄새(닭, 돼지, 소)",-6:-3,-1
2020-03-23 12:08:00,36.062286,126.9334,성당면 대선리,4,기타,-10:23,-1
2020-03-25 23:09:00,35.96133,126.99423,부송동,5,"가축 분뇨 냄새(닭, 돼지, 소)",1:1,-1
2020-03-26 00:03:00,35.957653,126.983864,어양동,3,기타,-1:0,-1
2020-03-26 10:21:00,35.97368,126.934006,현영동,4,"가축 분뇨 냄새(닭, 돼지, 소)",-10:3,-1
2020-03-27 15:10:00,35.973137,127.08082,왕궁면 흥암리,4,하수구 냄새,17:3,-1
2020-03-29 18:21:00,36.062286,126.9334,성당면 대선리,3,기타,-10:23,-1
2020-03-30 18:28:00,36.062286,126.9334,성당면 대선리,4,기타,-10:23,-1
2020-03-31 18:27:00,36.062286,126.9334,성당면 대선리,3,기타,-10:23,-1
2020-04-01 08:08:00,36.062286,126.9334,성당면 대선리,4,기타,-10:23,-1
2020-04-02 08:33:00,35.961296,126.994194,부송동,5,"공장 냄새(화학약품, 매캐함)",1:1,-1
2020-04-02 14:19:00,36.062286,126.9334,성당면 대선리,4,기타,-10:23,-1
2020-04-02 21:31:00,35.948364,126.96429,영등동,3,"공장 냄새(화학약품, 매캐함)",-4:-2,-1
2020-04-03 08:56:00,35.961006,126.99464,부송동,5,"공장 냄새(화학약품, 매캐함)",1:0,-1
2020-04-03 18:35:00,36.062286,126.9334,성당면 대선리,4,기타,-10:23,-1
2020-04-04 00:47:00,35.948536,126.964066,영등동,4,기타,-4:-2,-1
2020-04-04 21:55:00,35.959812,126.971375,영등동,5,기타,-3:0,-1
2020-04-06 10:33:00,35.9474,127.08977,왕궁면 구덕리,5,기타,19:-3,-1
2020-04-06 14:20:00,35.97164,127.07928,왕궁면 동촌리,4,"가축 분뇨 냄새(닭, 돼지, 소)",17:3,-1
2020-04-07 13:14:00,36.062286,126.9334,성당면 대선리,3,기타,-10:23,-1
2020-04-08 05:58:00,35.957546,126.998405,부송동,5,"공장 냄새(화학약품, 매캐함)",2:0,-1
2020-04-08 18:25:00,36.062286,126.9334,성당면 대선리,3,기타,-10:23,-1
2020-04-10 07:56:00,35.945866,126.9815,신흥동,4,기타,-1:-3,-1
2020-04-10 13:25:00,36.062286,126.9334,성당면 대선리,3,기타,-10:23,-1
2020-04-10 20:06:00,35.962917,126.95826,신동,4,"가축 분뇨 냄새(닭, 돼지, 소)",-5:1,-1
2020-04-12 01:28:00,35.9583,126.99766,부송동,4,기타,2:0,-1
2020-04-12 01:28:00,35.9583,126.99766,부송동,4,기타,2:0,-1
2020-04-12 01:33:00,35.9583,126.99767,부송동,4,"가축 분뇨 냄새(닭, 돼지, 소)",2:0,-1
2020-04-12 01:33:00,35.9583,126.99767,부송동,4,"가축 분뇨 냄새(닭, 돼지, 소)",2:0,-1
2020-04-13 17:15:00,35.948887,126.96347,영등동,3,"공장 냄새(화학약품, 매캐함)",-4:-2,-1
2020-04-14 11:55:00,36.062286,126.9334,성당면 대선리,4,기타,-10:23,-1
2020-04-15 00:44:00,35.96137,126.994194,부송동,5,"가축 분뇨 냄새(닭, 돼지, 소)",1:1,-1
2020-04-15 03:02:00,35.957836,126.99816,부송동,4,"공장 냄새(화학약품, 매캐함)",2:0,-1
2020-04-16 20:39:00,36.04586,126.96075,함열읍 석매리,5,"가축 분뇨 냄새(닭, 돼지, 소)",-5:19,-1
2020-04-18 11:58:00,36.062286,126.9334,성당면 대선리,5,기타,-10:23,-1
2020-04-19 01:57:00,35.948547,126.96399,영등동,3,"공장 냄새(화학약품, 매캐함)",-4:-2,-1
2020-04-19 16:38:00,35.961296,126.99393,부송동,3,"공장 냄새(화학약품, 매캐함)",1:1,-1
2020-04-20 12:21:00,36.062286,126.9334,성당면 대선리,4,기타,-10:23,-1
2020-04-22 06:55:00,36.062286,126.9334,성당면 대선리,3,기타,-10:23,-1
2020-04-22 07:52:00,36.062286,126.9334,성당면 대선리,3,기타,-10:23,-1
2020-04-22 13:53:00,36.062286,126.9334,성당면 대선리,5,하수구 냄새,-10:23,-1
2020-04-23 06:36:00,36.062286,126.9334,성당면 대선리,3,하수구 냄새,-10:23,-1
2020-04-23 13:09:00,36.062286,126.9334,성당면 대선리,4,기타,-10:23,-1
2020-04-23 20:37:00,35.96363,126.95781,신동,3,"공장 냄새(화학약품, 매캐함)",-5:1,-1
2020-04-23 20:55:00,36.062286,126.9334,성당면 대선리,4,기타,-10:23,-1
2020-04-23 21:56:00,35.96358,126.973946,영등동,5,기타,-2:1,-1
2020-04-25 18:25:00,36.062286,126.9334,성당면 대선리,3,기타,-10:23,-1
2020-04-26 12:41:00,36.062286,126.9334,성당면 대선리,4,기타,-10:23,-1
2020-04-27 05:59:00,36.062286,126.9334,성당면 대선리,3,"가축 분뇨 냄새(닭, 돼지, 소)",-10:23,-1
2020-04-27 13:07:00,36.062286,126.9334,성당면 대선리,3,기타,-10:23,-1
2020-04-28 12:55:00,35.95675,126.972046,영등동,3,"가축 분뇨 냄새(닭, 돼지, 소)",-3:0,-1
2020-04-28 19:52:00,36.062286,126.9334,성당면 대선리,5,기타,-10:23,-1
2020-04-28 23:38:00,35.961403,126.99445,부송동,5,하수구 냄새,1:1,-1
2020-04-29 17:48:00,35.991467,126.975914,월성동,3,"가축 분뇨 냄새(닭, 돼지, 소)",-2:7,-1
2020-04-30 01:07:00,35.961437,126.994194,부송동,4,하수구 냄새,1:1,-1
2020-04-30 02:29:00,35.948536,126.96402,영등동,4,기타,-4:-2,-1
2020-05-01 08:46:00,35.961403,126.994415,부송동,4,"가축 분뇨 냄새(닭, 돼지, 소)",1:1,-1
2020-05-02 13:33:00,35.94856,126.964,영등동,5,"가축 분뇨 냄새(닭, 돼지, 소)",-4:-2,-1
2020-05-02 15:40:00,36.086723,127.036705,낭산면 석천리,4,기타,9:28,-1
2020-05-02 20:33:00,35.948563,126.964355,영등동,3,"가축 분뇨 냄새(닭, 돼지, 소)",-4:-2,-1
2020-05-02 20:33:00,35.948563,126.964355,영등동,3,"가축 분뇨 냄새(닭, 돼지, 소)",-4:-2,-1
2020-05-02 22:07:00,35.961403,126.99401,부송동,4,하수구 냄새,1:1,-1
2020-05-03 13:09:00,35.97368,126.934006,현영동,5,"가축 분뇨 냄새(닭, 돼지, 소)",-10:3,-1
2020-05-05 13:53:00,36.045288,126.96281,함열읍 석매리,3,기타,-4:19,-1
2020-05-06 23:40:00,35.965008,127.01424,팔봉동,2,기타,5:1,-1
2020-05-07 22:14:00,35.959656,126.99603,부송동,2,"가축 분뇨 냄새(닭, 돼지, 소)",2:0,-1
2020-05-08 10:16:00,35.964394,127.0149,팔봉동,3,"가축 분뇨 냄새(닭, 돼지, 소)",5:1,-1
