cluster_id,start,end,duration_minutes,reports,unique_grids,mean_intensity,major_region,major_odor_type
320,2026-06-27 07:45:00,2026-06-27 08:57:00,72.0,7,1,4.285714285714286,왕궁면 흥암리,"공장 냄새(화학약품, 매캐함)"
176,2021-10-03 20:33:00,2021-10-03 21:20:00,47.0,7,5,4.428571428571429,동산동,"가축 분뇨 냄새(닭, 돼지, 소)"
7,2020-07-09 18:18:00,2020-07-09 19:12:00,54.0,7,4,3.0,부송동,"가축 분뇨 냄새(닭, 돼지, 소)"
178,2021-10-05 23:55:00,2021-10-06 00:44:00,49.0,7,4,5.0,동산동,기타
179,2021-10-06 06:45:00,2021-10-06 07:30:00,45.0,7,4,4.0,동산동,기타
310,2025-09-16 21:39:00,2025-09-16 23:02:00,83.0,7,4,3.5714285714285716,부송동,"가축 분뇨 냄새(닭, 돼지, 소)"
311,2025-09-20 19:57:00,2025-09-20 21:07:00,70.0,7,1,4.285714285714286,왕궁면 흥암리,"가축 분뇨 냄새(닭, 돼지, 소)"
187,2022-06-29 23:25:00,2022-06-30 00:45:00,80.0,7,6,3.5714285714285716,어양동,"가축 분뇨 냄새(닭, 돼지, 소)"
277,2024-08-23 21:28:00,2024-08-23 23:24:00,116.0,7,1,4.571428571428571,왕궁면 흥암리,"가축 분뇨 냄새(닭, 돼지, 소)"
235,2022-09-22 21:36:00,2022-09-22 22:35:00,59.0,7,2,4.142857142857143,부송동,"공장 냄새(화학약품, 매캐함)"
120,2021-07-16 18:28:00,2021-07-16 19:52:00,84.0,7,5,3.857142857142857,동산동,"가축 분뇨 냄새(닭, 돼지, 소)"
96,2020-10-24 21:10:00,2020-10-24 21:50:00,40.0,7,4,4.857142857142857,부송동,"공장 냄새(화학약품, 매캐함)"
290,2024-09-28 21:32:00,2024-09-28 22:06:00,34.0,7,4,4.0,부송동,"공장 냄새(화학약품, 매캐함)"
284,2024-09-09 00:52:00,2024-09-09 01:21:00,29.0,7,4,4.285714285714286,어양동,"가축 분뇨 냄새(닭, 돼지, 소)"
110,2021-06-17 07:58:00,2021-06-17 08:49:00,51.0,7,4,4.428571428571429,동산동,기타
83,2020-09-17 08:20:00,2020-09-17 09:13:00,53.0,7,6,3.7142857142857144,영등동,기타
2,2020-05-23 23:23:00,2020-05-24 00:19:00,56.0,7,4,4.0,부송동,"가축 분뇨 냄새(닭, 돼지, 소)"
