gap_before_min,n_init_reports,n_init_locs,n_init_grids,n_future_reports,complete,n_candidates,n_positive_cells,n_future_cells,n_outside_cells,n_future_reports_outside,cov_cells_r1,cov_cells_r2,cov_cells_r3,cov_cells_r4,t0_override,t_pred_min,lead_gain_min,t0,event_id,has_positive,has_future,outside_only
21.0,7,7,5,11,True,27,4,4,0,0,4,4,4,4,26652759,26652789,8,2020-09-03 20:39:00,EV2-0108,True,True,False
35.0,7,7,3,8,True,21,2,3,1,1,2,2,2,3,26652897,26652927,2,2020-09-03 22:57:00,EV2-0109,True,True,False
104.0,7,7,4,12,True,31,6,7,1,1,6,6,7,7,26654248,26654278,9,2020-09-04 21:28:00,EV2-0110,True,True,False
43.0,8,8,5,9,True,38,3,4,1,1,2,3,3,4,26663642,26663672,10,2020-09-11 10:02:00,EV2-0111,True,True,False
48.0,7,7,2,0,True,26,0,0,0,0,0,0,0,0,26668776,26668806,11,2020-09-14 23:36:00,EV2-0112,False,False,False
37.0,7,7,5,4,True,38,3,3,0,0,3,3,3,3,26672161,26672191,0,2020-09-17 08:01:00,EV2-0113,True,True,False
41.0,8,8,4,28,True,35,8,8,0,0,7,8,8,8,26674386,26674416,22,2020-09-18 21:06:00,EV2-0114,True,True,False
2.0,7,7,4,4,True,28,2,3,1,2,2,2,3,3,26674449,26674479,2,2020-09-18 22:09:00,EV2-0115,True,True,False
61.0,7,7,3,3,True,23,2,2,0,0,1,2,2,2,26675870,26675900,5,2020-09-19 21:50:00,EV2-0116,True,True,False
21.0,9,9,7,3,True,44,3,3,0,0,3,3,3,3,26675936,26675966,0,2020-09-19 22:56:00,EV2-0117,True,True,False
3.0,8,8,8,27,True,54,12,12,0,0,12,12,12,12,26693106,26693136,6,2020-10-01 21:06:00,EV2-0118,True,True,False
3.0,7,7,4,16,True,33,8,10,2,2,7,8,10,10,26693277,26693307,18,2020-10-01 23:57:00,EV2-0119,True,True,False
8.0,7,7,6,3,True,46,3,3,0,0,3,3,3,3,26694645,26694675,6,2020-10-02 22:45:00,EV2-0120,True,True,False
19.0,7,7,5,7,True,39,4,6,2,2,2,4,5,5,27044549,27044579,18,2021-06-02 22:29:00,EV2-0121,True,True,False
